"id_prov";"id_kab";"id_gol_luas_lahan";"id_kec";"prov";"kab";"kec";"gol_luas_lahan";"n_rtup_gol_luas_lahan_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310062] KOTING";"53";"5310";"5310062";">=30000";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310063] NELLE";"53";"5310";"5310063";"<1000";"244"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310063] NELLE";"53";"5310";"5310063";"1000-1999";"176"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310063] NELLE";"53";"5310";"5310063";"2000-4999";"357"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310063] NELLE";"53";"5310";"5310063";"5000-9999";"240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310063] NELLE";"53";"5310";"5310063";"10000-19999";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310063] NELLE";"53";"5310";"5310063";"20000-29999";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310063] NELLE";"53";"5310";"5310063";">=30000";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310070] NITA";"53";"5310";"5310070";"<1000";"447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310070] NITA";"53";"5310";"5310070";"1000-1999";"367"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310070] NITA";"53";"5310";"5310070";"2000-4999";"1058"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310070] NITA";"53";"5310";"5310070";"5000-9999";"1000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310070] NITA";"53";"5310";"5310070";"10000-19999";"646"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310070] NITA";"53";"5310";"5310070";"20000-29999";"184"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310070] NITA";"53";"5310";"5310070";">=30000";"79"
