"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_rtup_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310062] KOTING";"53";"5310";"5310062";"Pertanian";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310062] KOTING";"53";"5310";"5310062";"Tanaman Pangan";"772"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310062] KOTING";"53";"5310";"5310062";"Padi";"65"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310062] KOTING";"53";"5310";"5310062";"Palawija";"758"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310062] KOTING";"53";"5310";"5310062";"Hortikultura";"807"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310062] KOTING";"53";"5310";"5310062";"Perkebunan";"1132"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310062] KOTING";"53";"5310";"5310062";"Peternakan";"767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310062] KOTING";"53";"5310";"5310062";"Perikanan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310062] KOTING";"53";"5310";"5310062";"Budidaya Ikan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310062] KOTING";"53";"5310";"5310062";"Penangkapan Ikan";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310062] KOTING";"53";"5310";"5310062";"Kehutanan";"266"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310062] KOTING";"53";"5310";"5310062";"Jasa Pertanian";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310063] NELLE";"53";"5310";"5310063";"Pertanian";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310063] NELLE";"53";"5310";"5310063";"Tanaman Pangan";"686"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310063] NELLE";"53";"5310";"5310063";"Padi";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310063] NELLE";"53";"5310";"5310063";"Palawija";"681"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310063] NELLE";"53";"5310";"5310063";"Hortikultura";"577"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310063] NELLE";"53";"5310";"5310063";"Perkebunan";"803"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310063] NELLE";"53";"5310";"5310063";"Peternakan";"856"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310063] NELLE";"53";"5310";"5310063";"Perikanan";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310063] NELLE";"53";"5310";"5310063";"Budidaya Ikan";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310063] NELLE";"53";"5310";"5310063";"Penangkapan Ikan";"1"
