"id_prov";"id_kab";"id_kategori_luas_lahan_tani";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan_tani";"n_utp_kategori_luas_lahan_tani";"n_upb_kategori_luas_lahan_tani";"n_utl_kategori_luas_lahan_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2023.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310050] KEWAPANTE";"53";"5310";"5310050";"< 1";"1884.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310050] KEWAPANTE";"53";"5310";"5310050";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310050] KEWAPANTE";"53";"5310";"5310050";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1-1,99";"111.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2-4,99";"27.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310050] KEWAPANTE";"53";"5310";"5310050";"5-9,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310050] KEWAPANTE";"53";"5310";"5310050";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310050] KEWAPANTE";"53";"5310";"5310050";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310050] KEWAPANTE";"53";"5310";"5310050";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310050] KEWAPANTE";"53";"5310";"5310050";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Usaha Pertanian Tanpa Lahan Pertanian";"15.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1761.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"< 1";"1468.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310051] HEWOKLOANG";"53";"5310";"5310051";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1-1,99";"238.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2-4,99";"52.00";"0.00";"0.00"
