tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_usaha_selain_ternak_besar_produksi_daging;n_rtup_usaha_selain_ternak_besar_produksi_susu_segar;n_rtup_usaha_selain_ternak_besar_produksi_telur_konsumsi;n_rtup_usaha_selain_ternak_besar_produksi_telur_tetas;n_rtup_usaha_selain_ternak_besar_produksi_semen_ternak;n_rtup_usaha_selain_ternak_besar_produksi_embrio;n_rtup_usaha_selain_ternak_besar_produksi_madu;n_rtup_usaha_selain_ternak_besar_produksi_liur_atau_sarang;n_rtup_usaha_selain_ternak_besar_produksi_bulu;n_rtup_usaha_selain_ternak_besar_produksi_kepompong;n_rtup_usaha_selain_ternak_besar_produksi_kulit;n_rtup_usaha_selain_ternak_besar_produksi_lilin_malam;jumlah;n_rtup_usaha_selain_ternak_besar
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310050] KEWAPANTE;53;5310;5310050;357;0;0;0;0;0;0;0;0;0;0;0;357;357
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310051] HEWOKLOANG;53;5310;5310051;239;0;0;0;0;0;0;0;0;0;0;0;239;239
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310052] KANGAE;53;5310;5310052;618;0;0;0;0;0;0;0;0;0;1;0;619;619
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310061] PALUE;53;5310;5310061;195;0;0;0;0;0;0;0;0;0;0;0;195;195
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310062] KOTING;53;5310;5310062;138;0;0;0;0;0;0;0;0;0;1;0;139;139
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310063] NELLE;53;5310;5310063;127;0;0;0;0;0;0;0;0;0;0;0;127;127
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310070] NITA;53;5310;5310070;593;0;0;0;0;0;0;0;0;0;0;0;593;593
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310071] MAGEPANDA;53;5310;5310071;416;0;0;0;0;0;0;0;0;0;0;0;416;416
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310080] ALOK;53;5310;5310080;255;0;0;0;0;0;0;0;0;0;0;0;255;255
BAB_6_tabel_6_19_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;4203;[5310081] ALOK BARAT;53;5310;5310081;302;0;0;0;0;0;0;0;0;0;0;0;302;302
