"id_prov";"id_kab";"id_kategori_luas_lahan";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan";"n_utp_kategori_luas_lahan";"n_upb_kategori_luas_lahan";"n_utl_kategori_luas_lahan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310032] MAPITARA";"53";"5310";"5310032";"5-9,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310032] MAPITARA";"53";"5310";"5310032";"Usaha Pertanian Tanpa Lahan Pertanian";"28.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310032] MAPITARA";"53";"5310";"5310032";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1411.00";"0.00";"3.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310040] TALIBURA";"53";"5310";"5310040";"< 1";"2809.00";"2.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310040] TALIBURA";"53";"5310";"5310040";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310040] TALIBURA";"53";"5310";"5310040";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310040] TALIBURA";"53";"5310";"5310040";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310040] TALIBURA";"53";"5310";"5310040";"1-1,99";"1056.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310040] TALIBURA";"53";"5310";"5310040";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310040] TALIBURA";"53";"5310";"5310040";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310040] TALIBURA";"53";"5310";"5310040";"2-4,99";"314.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310040] TALIBURA";"53";"5310";"5310040";"500-999";"0.00";"1.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310040] TALIBURA";"53";"5310";"5310040";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310040] TALIBURA";"53";"5310";"5310040";"5-9,99";"17.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310040] TALIBURA";"53";"5310";"5310040";"Usaha Pertanian Tanpa Lahan Pertanian";"477.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310040] TALIBURA";"53";"5310";"5310040";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"4197.00";"3.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310041] WAIGETE";"53";"5310";"5310041";"< 1";"4357.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310041] WAIGETE";"53";"5310";"5310041";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310041] WAIGETE";"53";"5310";"5310041";"100-199";"0.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310041] WAIGETE";"53";"5310";"5310041";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310041] WAIGETE";"53";"5310";"5310041";"1-1,99";"437.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310041] WAIGETE";"53";"5310";"5310041";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310041] WAIGETE";"53";"5310";"5310041";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310041] WAIGETE";"53";"5310";"5310041";"2-4,99";"86.00";"2.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310041] WAIGETE";"53";"5310";"5310041";"500-999";"0.00";"0.00";"0.00"
